System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM+1.0) rhol rhos viscosity aH2O chisqr
105 500.00 1043.70 45.980137 0.9738099419336715 0.978976 -592589.988803 124.987150 19.084393 65.877632 -139.284130 1601.059488 -9.229 0.000 2.396591 3.001341 3.545 n/a n/a
106 500.00 1038.72 44.789035 0.9747555550301348 0.979724 -578113.267569 121.738059 18.654173 64.105024 -137.108099 1569.067852 -9.300 0.000 2.388844 2.989333 3.594 n/a n/a
107 500.00 1033.74 43.671239 0.9756192712889280 0.980406 -564500.859587 118.681562 18.248809 62.442168 -135.035214 1539.194889 -9.370 0.000 2.381417 2.977691 3.642 n/a n/a
108 500.00 1028.75 42.619170 0.9764105184263595 0.981030 -551664.282413 115.798049 17.865770 60.877800 -133.055462 1511.219333 -9.442 0.000 2.374288 2.966407 3.688 n/a n/a
109 500.00 1023.77 41.626288 0.9771375282534079 0.981603 -539527.114473 113.070586 17.502870 59.402194 -131.160169 1484.950291 -9.514 0.000 2.367437 2.955472 3.732 n/a n/a
110 500.00 1018.79 40.686855 0.9677875480979709 0.957863 -528128.446927 110.402134 17.405873 57.909182 -709.607740 1710.440134 -9.586 0.000 2.361756 1.786969 3.795 n/a n/a
111 500.00 1013.81 39.386765 0.9676264298121976 0.956944 -511817.323478 106.715337 16.901767 55.961686 -714.557696 1668.687161 -9.659 0.000 2.356349 1.752146 3.858 n/a n/a
112 500.00 1008.83 38.122073 0.9675824727241851 0.957132 -495845.322312 103.127068 16.393297 54.051266 -687.613863 1613.591778 -9.733 0.000 2.350857 1.758578 3.925 n/a n/a
113 500.00 1003.85 36.901548 0.9673808158712957 0.957188 -480432.275411 99.670087 15.902003 52.198768 -662.142179 1560.937615 -9.807 0.000 2.345271 1.768068 3.998 n/a n/a
114 500.00 998.87 35.713089 0.9685032457001213 0.958587 -465417.701910 96.323152 15.420074 50.414773 -626.910060 1506.209800 -9.882 0.000 2.339971 1.761448 4.069 n/a n/a
115 500.00 993.89 34.603430 0.9695389077864897 0.959885 -451390.019640 93.191838 14.968887 48.751344 -594.762222 1455.384638 -9.957 0.000 2.334939 1.755378 4.138 n/a n/a
116 500.00 988.91 33.564511 0.9704994601052613 0.961096 -438247.938649 90.254468 14.545319 47.196093 -565.298514 1408.033629 -10.033 0.000 2.330158 1.749833 4.206 n/a n/a
117 500.00 983.92 32.589435 0.9713952085337738 0.962233 -425904.990763 87.492466 14.146703 45.738418 -538.174411 1363.787392 -10.110 0.000 2.325613 1.744791 4.271 n/a n/a
118 500.00 978.94 31.672278 0.9722350160968093 0.963305 -414287.034196 84.889850 13.770748 44.369201 -513.098287 1322.329137 -10.187 0.000 2.321290 1.740230 4.335 n/a n/a
119 500.00 973.96 30.807919 0.9730263858256318 0.964321 -403330.129281 82.432783 13.415480 43.080559 -489.825002 1283.387155 -10.265 0.000 2.317177 1.736130 4.398 n/a n/a
120 500.00 968.98 29.991907 0.9737756043434577 0.965289 -392978.777566 80.109215 13.079185 41.865632 -468.148877 1246.727754 -10.343 0.000 2.313262 1.732470 4.459 n/a n/a
121 500.00 964.00 29.220348 0.9744878989810586 0.966216 -383184.479327 77.908577 12.760369 40.718411 -447.897179 1212.149080 -10.422 0.000 2.309535 1.729231 4.519 n/a n/a
122 500.00 959.02 28.489811 0.9751675883429828 0.967105 -373904.557797 75.821540 12.457714 39.633600 -428.924437 1179.475880 -10.502 0.000 2.305987 1.726397 4.577 n/a n/a
123 500.00 954.04 27.797252 0.9758182180606093 0.967961 -365101.202088 73.839813 12.170055 38.606500 -411.107657 1148.555131 -10.582 0.000 2.302609 1.723949 4.634 n/a n/a
124 500.00 949.06 27.139955 0.9764426788939855 0.968788 -356740.687411 71.955978 11.896353 37.632917 -394.342364 1119.252436 -10.663 0.000 2.299393 1.721872 4.690 n/a n/a
125 500.00 944.08 26.515482 0.9770433070186141 0.969588 -348792.738072 70.163361 11.635675 36.709082 -378.539365 1091.449050 -10.745 0.000 2.296332 1.720149 4.746 n/a n/a
126 500.00 939.09 25.921674 0.9764696637537786 0.968940 -341234.852019 68.452529 11.390225 35.830328 -376.069895 1071.215051 -10.827 0.000 2.293468 1.724063 4.797 n/a n/a
127 500.00 934.11 25.327187 0.9771486470420296 0.969868 -333616.909634 66.751745 11.139299 34.956059 -359.314907 1044.291030 -10.910 0.000 2.290748 1.724282 4.847 n/a n/a
128 500.00 929.13 24.763872 0.9778327770903626 0.970795 -326395.286198 65.137369 10.901025 34.128589 -343.489752 1018.777095 -10.994 0.000 2.288169 1.724293 4.897 n/a n/a
