Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
35 500.00 1298.00 96.234459 47.9935 0.673079 12.5837 2.69764 0 7.28652 0.195095 12.6129 0 0 10.9351 1.9412 0.946213 0.195095 1.93998 0
37 500.00 1292.00 97.148635 48.0024 0.673205 12.586 2.48229 0 7.48222 0.195132 12.6153 0 0 10.9371 1.94156 0.946389 0.195132 1.94324 0
36 500.00 1295.00 98.077770 48.0077 0.673279 12.5874 2.37463 0 7.58023 0.195153 12.6167 0 0 10.9383 1.94178 0.946494 0.195153 1.94316 0
36 500.00 1295.00 96.235297 47.9931 0.673074 12.5835 2.69762 0 7.28646 0.195094 12.6128 0 0 10.935 1.94118 0.946205 0.195094 1.94084 0
38 500.00 1289.00 97.149501 48.002 0.673199 12.5859 2.48227 0 7.48216 0.19513 12.6152 0 0 10.937 1.94154 0.946381 0.19513 1.94411 0
37 500.00 1292.00 98.078645 48.0073 0.673273 12.5873 2.37461 0 7.58016 0.195152 12.6166 0 0 10.9382 1.94176 0.946485 0.195152 1.94404 0
37 500.00 1292.00 96.236141 47.9926 0.673068 12.5834 2.69759 0 7.2864 0.195092 12.6127 0 0 10.9349 1.94117 0.946197 0.195092 1.9417 0
39 500.00 1286.00 97.150372 48.0016 0.673193 12.5858 2.48225 0 7.48209 0.195128 12.615 0 0 10.9369 1.94153 0.946372 0.195128 1.94499 0
38 500.00 1289.00 98.079524 48.0069 0.673267 12.5872 2.37459 0 7.5801 0.19515 12.6164 0 0 10.9381 1.94174 0.946477 0.19515 1.94492 0
38 500.00 1289.00 96.236989 47.9922 0.673062 12.5833 2.69757 0 7.28633 0.19509 12.6126 0 0 10.9348 1.94115 0.946188 0.19509 1.94256 0
40 500.00 1283.00 97.151247 48.0011 0.673187 12.5857 2.48223 0 7.48202 0.195127 12.6149 0 0 10.9368 1.94151 0.946364 0.195127 1.94588 0
39 500.00 1286.00 98.080408 48.0064 0.673261 12.5871 2.37457 0 7.58003 0.195148 12.6163 0 0 10.9381 1.94172 0.946468 0.195148 1.9458 0
39 500.00 1286.00 96.237842 47.9918 0.673056 12.5832 2.69755 0 7.28627 0.195089 12.6125 0 0 10.9347 1.94113 0.94618 0.195089 1.94343 0
41 500.00 1280.00 97.152128 48.0007 0.67318 12.5855 2.4822 0 7.48195 0.195125 12.6148 0 0 10.9367 1.94149 0.946355 0.195125 1.94677 0
40 500.00 1283.00 98.081297 48.006 0.673255 12.5869 2.37454 0 7.57996 0.195146 12.6162 0 0 10.938 1.94171 0.94646 0.195146 1.94669 0
40 500.00 1283.00 96.238699 47.9914 0.67305 12.5831 2.69752 0 7.2862 0.195087 12.6124 0 0 10.9346 1.94111 0.946171 0.195087 1.9443 0
42 500.00 1277.00 97.153013 48.0003 0.673174 12.5854 2.48218 0 7.48189 0.195123 12.6147 0 0 10.9366 1.94147 0.946347 0.195123 1.94766 0
41 500.00 1280.00 98.082191 48.0056 0.673249 12.5868 2.37452 0 7.57989 0.195145 12.6161 0 0 10.9379 1.94169 0.946451 0.195145 1.94758 0
41 500.00 1280.00 96.239562 47.9909 0.673044 12.583 2.6975 0 7.28614 0.195085 12.6123 0 0 10.9345 1.9411 0.946163 0.195085 1.94518 0
43 500.00 1274.00 97.153903 47.9998 0.673168 12.5853 2.48216 0 7.48182 0.195121 12.6146 0 0 10.9365 1.94146 0.946338 0.195121 1.94856 0
42 500.00 1277.00 98.083090 48.0051 0.673243 12.5867 2.3745 0 7.57982 0.195143 12.616 0 0 10.9378 1.94167 0.946442 0.195143 1.94848 0
42 500.00 1277.00 96.240429 47.9905 0.673038 12.5829 2.69747 0 7.28607 0.195083 12.6121 0 0 10.9344 1.94108 0.946154 0.195083 1.94606 0
44 500.00 1271.00 97.154798 47.9994 0.673162 12.5852 2.48213 0 7.48175 0.195119 12.6145 0 0 10.9364 1.94144 0.946329 0.195119 1.94946 0
43 500.00 1274.00 98.083994 48.0047 0.673236 12.5866 2.37448 0 7.57975 0.195141 12.6159 0 0 10.9377 1.94165 0.946434 0.195141 1.94939 0
43 500.00 1274.00 96.241301 47.9901 0.673032 12.5828 2.69745 0 7.28601 0.195082 12.612 0 0 10.9343 1.94106 0.946146 0.195082 1.94695 0
45 500.00 1268.00 97.155698 47.9989 0.673156 12.5851 2.48211 0 7.48168 0.195118 12.6144 0 0 10.9363 1.94142 0.94632 0.195118 1.95037 0
44 500.00 1271.00 98.084903 48.0042 0.67323 12.5865 2.37446 0 7.57968 0.195139 12.6157 0 0 10.9375 1.94163 0.946425 0.195139 1.95029 0
44 500.00 1271.00 96.242177 47.9896 0.673025 12.5826 2.69743 0 7.28594 0.19508 12.6119 0 0 10.9342 1.94104 0.946137 0.19508 1.94785 0
46 500.00 1265.00 97.156604 47.9985 0.673149 12.585 2.48209 0 7.48161 0.195116 12.6142 0 0 10.9362 1.9414 0.946312 0.195116 1.95128 0
45 500.00 1268.00 98.085817 48.0038 0.673224 12.5864 2.37443 0 7.57961 0.195137 12.6156 0 0 10.9374 1.94162 0.946416 0.195137 1.95121 0
45 500.00 1268.00 96.243059 47.9892 0.673019 12.5825 2.6974 0 7.28587 0.195078 12.6118 0 0 10.9341 1.94103 0.946129 0.195078 1.94874 0
